[2022-03-20 10:35:17.596] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 123166
[2022-03-20 10:35:17.753] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 124907
[2022-03-20 10:35:17.864] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 126558
[2022-03-20 10:35:17.975] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 128492
[2022-03-20 10:35:18.090] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 130440
[2022-03-20 10:42:47.749] WARN [http-nio-8000-exec-5]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 422760
[2022-03-20 10:44:49.902] WARN [http-nio-8000-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 120100
[2022-03-20 11:04:33.456] WARN [http-nio-8000-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 1181078
[2022-03-20 11:06:57.037] WARN [http-nio-8000-exec-2]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 87505
[2022-03-20 11:10:18.902] WARN [http-nio-8000-exec-7]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 108102
[2022-03-20 11:12:59.787] WARN [http-nio-8000-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 74869
[2022-03-20 11:12:59.941] WARN [http-nio-8000-exec-9]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 142474
[2022-03-20 11:14:25.474] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 80017
[2022-03-20 11:14:25.608] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 82418
